,b1,a2,b2,RatioTotalArea,frac,Nc
32086,0.07142857142857142,0.5,0.05,0.09200378485512964,0.6,4.44612
6912,0.07142857142857142,0.2,0.0025,0.0790110552377833,0.3,5.79523
57767,0.01,0.35,0.0035,0.00444142661401257,0.95,10.6999
20051,0.001,0.45,0.0642857142857143,0.028364093672410707,0.3,5.4576199999999995
51328,0.0625,0.2,0.04,0.03974114706791088,0.8,13.3425
3335,0.125,0.05,0.0071428571428571435,0.17682678650205408,0.1,3.9653
25661,0.25,0.45,0.05625,0.1734748193404114,0.7,3.99505
33666,0.0625,0.05,0.025,0.03220132469929538,0.7,14.377
41513,0.001,0.4,0.04444444444444445,0.02328269222160436,0.4,6.08375
42894,0.001,0.005,5e-06,0.0007854374333056182,0.5,11.23
27241,0.16666666666666666,0.5,0.08333333333333333,0.2094395102393195,0.4,3.4597300000000004
55574,0.07142857142857142,0.3,0.03,0.03247060406960308,0.95,11.7188
5726,0.08333333333333333,0.2,0.028571428571428574,0.09701537313585623,0.3,5.52851
52459,0.05,0.25,0.00625,0.01963495408493621,0.8,12.7213
43524,0.0025,0.3,0.06,0.035499996985564664,0.6,7.84638
22617,0.0025,0.35,0.0017499999999999998,0.0021245020319900967,0.9,10.36
35971,0.05,0.15,0.0015,0.02405674574486384,0.7,13.4865
37006,0.0125,0.3,0.003,0.012911945806254049,0.4,7.2950800000000005
21294,0.01,0.3,0.0006,0.002079734336676443,0.9,13.2963
49373,0.16666666666666666,0.01,0.002,0.013149659650375687,0.95,63.0101
2083,0.25,0.5,0.5,0.47123889803846897,0.2,2.19975
32465,0.05555555555555555,0.3,0.006,0.04646066468808905,0.5,6.978089999999999
39693,0.005,0.25,0.0005,0.0048694686130641785,0.4,8.013689999999999
7595,0.0625,0.05,0.0005,0.09326995889426397,0.05,4.61782
52015,0.07142857142857142,0.2,0.001,0.011785460440466852,0.9,21.3043
32433,0.05555555555555555,0.3,0.1,0.09075712110370512,0.5,5.98853
8837,0.0625,0.005,5e-05,0.06872257491672575,0.3,6.26348
39714,0.00625,0.025,0.0125,0.005399612373357457,0.5,10.9521
39213,0.025,0.005,6.25e-05,0.0117816596743547,0.7,16.8813
31641,0.07142857142857142,0.1,0.02,0.04864980623559051,0.6,10.2191
47808,0.5,0.5,0.025,0.07657632093125125,0.95,4.47542
2753,0.16666666666666666,0.2,0.2,0.2549926037163715,0.05,3.2657700000000003
40491,0.005,0.1,0.00125,0.004123340357836604,0.5,10.7776
31813,0.07142857142857142,0.5,0.16666666666666666,0.21691949274786665,0.7,3.40524
53032,0.03333333333333333,0.05,0.005,0.011100294042683931,0.8,24.0492
32824,0.0625,0.15,0.015,0.04351105825221863,0.6,10.0012
3997,0.125,0.5,0.001,0.1866106036232337,0.05,3.6263300000000003
28789,0.1,0.1,0.0001,0.07855552430301277,0.5,7.572
30753,0.07142857142857142,0.1,0.0001,0.0561155767773714,0.5,8.32596
19397,0.0005,0.15,0.00015,0.0007496625469628642,0.05,5.89999
62044,0.0025,0.35,0.11666666666666665,0.12703815292953724,0.99,6.431789875
37357,0.03333333333333333,0.1,0.0005,0.01581791901082461,0.7,15.5223
44819,0.001,0.3,0.0003,0.000669159235214626,0.7,10.3564
15180,0.00625,0.01,0.0002,0.009326917349610057,0.05,5.77491
13339,0.016666666666666666,0.5,0.00625,0.02127120025868089,0.3,5.3068599999999995
59159,0.0025,0.3,0.00375,0.003538218726105504,0.99,15.02297869
22558,0.0005,0.45,0.05625,0.07164794745593223,0.9,5.42117
36465,0.03333333333333333,0.5,0.0125,0.03272492347489368,0.6,5.1470400000000005
28374,0.1,0.005,0.0001,0.0942484079262245,0.4,6.43703
8206,0.0625,0.2,0.1,0.091106186954104,0.2,5.16566
10176,0.03333333333333333,0.3,0.0375,0.05065818153913541,0.1,5.22176
5794,0.08333333333333333,0.3,0.075,0.12788900093988448,0.05,4.20549
16361,0.005,0.1,0.0025,0.007500552460445631,0.05,5.7977300000000005
1606,0.25,0.01,0.0001,0.3730642846934206,0.05,2.6575599999999997
28084,0.125,0.4,0.13333333333333333,0.17619098798882754,0.7,4.4392
55150,0.0625,0.01,0.00125,0.004946044933995435,0.95,87.553
4126,0.125,0.35,0.0035,0.15784932287961914,0.2,4.1159099999999995
17366,0.0025,0.1,0.00125,0.0037502762302228155,0.05,5.85912
60365,0.01,0.35,0.03888888888888889,0.04249004063980195,0.99,9.119706525
29466,0.1,0.1,0.00125,0.0630674725208151,0.6,9.367180000000001
30523,0.08333333333333333,0.45,0.075,0.11349003461093128,0.7,4.70768
52366,0.05,0.1,0.005,0.01696460032938488,0.8,21.0632
9125,0.05555555555555555,0.2,0.028571428571428574,0.06647211122595546,0.3,6.06162
42259,0.0005,0.25,0.25,0.0790110552377833,0.4,5.44456
14283,0.01,0.2,0.01,0.014765485471872031,0.1,5.90209
22983,0.0025,0.1,0.011111111111111113,0.0035342917352885173,0.9,43.1303
28067,0.125,0.4,0.04,0.1379159174925919,0.4,4.45909
46256,0.005,0.35,0.0007,0.0011239047718217489,0.95,10.9048
14061,0.01,0.5,0.03333333333333333,0.01937315469713706,0.1,5.3375
14010,0.01,0.005,0.0003333333333333333,0.014922826903939316,0.05,5.68016
2497,0.16666666666666666,0.1,0.05,0.18797196043978928,0.3,4.45645
53462,0.08333333333333333,0.005,1e-05,0.006545133920629787,0.95,81.586
49963,0.16666666666666666,0.1,0.014285714285714287,0.017353559419829346,0.95,45.7974
30878,0.07142857142857142,0.45,0.005625,0.0705007051386838,0.4,4.97008
56498,0.005,0.25,0.008333333333333333,0.006806784082777885,0.8,13.8551
20198,0.001,0.15,0.015,0.0032201324699295377,0.3,7.76092
59771,0.0625,0.3,0.003,0.0037809067585953173,0.99,15.00626209
43321,0.0005,0.025,0.003125,0.0005154175447295755,0.5,11.2395
37804,0.01,0.2,0.005,0.010681415022205295,0.4,8.24774
21480,0.016666666666666666,0.2,0.002,0.0037489672332838187,0.9,23.3224
49780,0.1,0.45,0.075,0.11623892818282235,0.8,4.75088
51110,0.125,0.025,0.00025,0.0098361302488488,0.95,70.5713
56213,0.005,0.025,0.00125,0.0016493361431346412,0.8,27.4701
28537,0.125,0.2,0.01,0.08230972752405258,0.6,7.75132
2260,0.16666666666666666,0.45,0.0225,0.1928021591446836,0.3,3.66909
13998,0.0125,0.005,0.00025,0.017671851375524284,0.1,5.92696
25777,0.25,0.05,0.0025,0.19654589039021145,0.5,5.03213
11976,0.025,0.005,1e-05,0.03141595795182447,0.2,6.325
1765,0.25,0.1,0.002,0.3142849290651229,0.2,3.14187
52807,0.1,0.15,0.00075,0.0081897393488269,0.95,38.5526
6620,0.07142857142857142,0.5,0.0005,0.07877543578876406,0.3,4.5521199999999995
53341,0.03333333333333333,0.35,0.0875,0.0874409955249159,0.8,6.63385
41421,0.0025,0.15,0.01875,0.006381360077604268,0.5,10.2801
17341,0.00625,0.025,0.0025,0.0069311387919824795,0.3,7.834119999999999
26069,0.25,0.1,0.0025,0.2359336082845935,0.4,4.1605
31340,0.0625,0.4,0.013333333333333334,0.0574649656219133,0.5,5.71017
26058,0.25,0.1,0.014285714285714287,0.2374146448212858,0.4,4.1566
55855,0.00625,0.35,0.06999999999999999,0.06353871141885356,0.8,7.222060000000001
26787,0.16666666666666666,0.5,0.005,0.08403760348352697,0.7,4.39666
36877,0.03333333333333333,0.35,0.11666666666666665,0.1055051532830572,0.7,5.85111
36246,0.03333333333333333,0.3,0.1,0.07749261878854821,0.6,6.6779
21181,0.016666666666666666,0.35,0.0035,0.00608159977857424,0.9,10.1536
3256,0.125,0.2,0.02,0.17797122382586178,0.1,3.91966
33046,0.0625,0.5,0.05555555555555555,0.09053895494720583,0.7,4.46456
24944,0.5,0.005,6.25e-05,0.4712392907375506,0.4,2.39356
1351,0.25,0.05,0.0125,0.3536255230697011,0.1,2.80288
25457,0.5,0.4,0.06666666666666668,0.364424747816416,0.6,2.6924799999999998
24460,0.5,0.5,0.05555555555555555,0.29670597283903605,0.7,2.71119
27792,0.125,0.025,0.004166666666666668,0.11794062420351682,0.4,5.9438
19615,0.0025,0.05,0.00125,0.002807798434145877,0.3,7.9522
28168,0.125,0.35,0.008749999999999999,0.06563965150594174,0.7,6.7106600000000025
51769,0.05555555555555555,0.05,0.025,0.020594885173533084,0.8,21.8732
2124,0.16666666666666666,0.4,0.06666666666666668,0.2439970294288073,0.1,3.3261199999999995
34657,0.05555555555555555,0.2,0.02,0.03497639820996637,0.7,11.4245
4612,0.1,0.025,0.000125,0.14922614191936728,0.05,4.06099
31103,0.07142857142857142,0.005,0.0016666666666666668,0.04489560301455072,0.6,10.6202
53010,0.0625,0.1,0.03333333333333333,0.019242255003237483,0.9,32.725
16116,0.005,0.45,0.0225,0.010249446032336702,0.1,5.57452
27967,0.125,0.25,0.00625,0.11977321991811088,0.4,5.3646
57946,0.125,0.3,0.03333333333333333,0.03306526267903258,0.99,12.24429967
3775,0.125,0.2,0.006666666666666667,0.1867415033171333,0.05,3.7359699999999996
2495,0.16666666666666666,0.15,0.00015,0.1832807772098163,0.3,4.41868
29959,0.08333333333333333,0.025,0.00125,0.06549893433499969,0.5,8.15129
10423,0.03333333333333333,0.1,0.03333333333333333,0.04817108735504349,0.1,5.41822
25064,0.5,0.025,0.0027777777777777783,0.3142901650528789,0.6,3.58921
24879,0.5,0.05,0.00125,0.2357568936978291,0.7,4.77151
47283,0.5,0.05,0.016666666666666666,0.041757002353964366,0.95,27.8629
61578,0.0025,0.005,0.0025,7.814711725804614e-05,0.99,557.3015119
9560,0.05555555555555555,0.45,0.0642857142857143,0.08798952757554271,0.2,4.62805
43153,0.00625,0.3,0.3,0.2008655802888974,0.7,4.22415
51671,0.08333333333333333,0.01,1e-05,0.01309025213329629,0.9,40.7664
5336,0.08333333333333333,0.2,0.002,0.11793538821576086,0.1,4.48393
13931,0.016666666666666666,0.5,0.0005,0.021101030656611446,0.2,5.3118
11399,0.03333333333333333,0.2,0.005,0.04251622057858187,0.2,5.93538
7726,0.0625,0.35,0.11666666666666665,0.09968011690452616,0.05,4.46209
37761,0.03333333333333333,0.01,1e-05,0.015708183179434718,0.7,16.3013
34567,0.05555555555555555,0.3,0.015,0.03607595563872279,0.7,8.73672
52909,0.03333333333333333,0.025,0.000625,0.010511245420135849,0.8,24.4029
25915,0.25,0.01,0.0001,0.19635111164568889,0.5,5.04366
33257,0.0625,0.25,0.03571428571428571,0.04908738521234052,0.7,9.4036
59654,0.07142857142857142,0.3,0.0375,0.03611148555563839,0.99,12.0130249
35450,0.05555555555555555,0.005,0.000625,0.02618681101384468,0.7,14.9796
28352,0.125,0.1,0.025,0.08325220532012953,0.6,8.623489999999999
42041,0.0005,0.1,0.1,0.013037609512397644,0.4,8.62567
55299,0.01,0.35,0.017499999999999998,0.018535396656179776,0.8,8.79081
38117,0.025,0.35,0.0875,0.0791288649622929,0.7,6.41978
30509,0.07142857142857142,0.15,0.0075,0.06873355927103955,0.4,6.81842
41932,0.01,0.45,0.015,0.019556414268596462,0.7,6.1137
20418,0.0005,0.25,0.00125,0.0008246680715673207,0.2,6.65425
38325,0.016666666666666666,0.2,0.05,0.029321531433504737,0.6,9.968
28459,0.125,0.1,0.0025,0.05945464096918685,0.7,11.3922
13130,0.0125,0.35,0.011666666666666664,0.01895427567665842,0.1,5.62781
57756,0.01,0.35,0.05833333333333333,0.061719205673649476,0.95,8.1052
51504,0.0625,0.5,0.00625,0.027488935718910687,0.8,5.19977
46833,0.5,0.005,6.25e-05,0.15708041807765302,0.8,7.1738100000000005
17222,0.0025,0.3,0.15,0.01767145867644259,0.1,5.63419
48147,0.25,0.01,0.00025,0.0196424153674885,0.95,50.4524
1659,0.25,0.05,0.008333333333333333,0.3731295774607377,0.05,2.65564
41279,0.0025,0.25,0.05,0.021598449493429827,0.5,8.286669999999999
6836,0.07142857142857142,0.4,0.08,0.11161629899254022,0.05,4.31621
19780,0.001,0.1,0.05,0.0043982297150257105,0.2,6.909489999999999
55305,0.01,0.35,0.004375,0.006990043654237289,0.8,9.285860000000001
47984,0.16666666666666666,0.005,0.00125,0.05237558552309782,0.8,15.777999999999999
29125,0.1,0.005,5e-06,0.06283190019568567,0.6,9.657919999999999
15768,0.00625,0.5,0.025,0.011290098598838321,0.05,5.45834
58105,0.0125,0.3,0.0075,0.007194247176720625,0.99,14.62509263
28423,0.125,0.15,0.075,0.09974556675147593,0.6,7.7936
15099,0.00625,0.005,5e-06,0.009326607117335515,0.05,5.77083
34446,0.03333333333333333,0.3,0.03333333333333333,0.04188790204786391,0.5,7.13399
60305,0.01,0.45,0.0642857142857143,0.09013004923673862,0.99,5.252644913999999
49951,0.125,0.005,0.0005,0.01964202266840678,0.9,35.7136
19354,0.0005,0.15,0.025,0.0013351768777756618,0.05,5.89467
49893,0.125,0.01,5e-05,0.01963636780163032,0.9,35.6839
50584,0.07142857142857142,0.005,2.5e-05,0.02244026168490673,0.8,21.2491
5944,0.08333333333333333,0.05,0.0033333333333333327,0.0917868653623818,0.3,5.8212800000000025
