,b1,a2,b2,RatioTotalArea,frac,Nc
47621,0.25,0.15,0.01875,0.04722206457427157,0.9,18.5024
51115,0.08333333333333333,0.2,0.03333333333333333,0.03193952531149623,0.9,17.602999999999994
7662,0.0625,0.2,0.02,0.09389435043416494,0.05,4.58791
12087,0.025,0.025,0.0125,0.0316122760767473,0.2,6.32495
55309,0.05555555555555555,0.01,0.005,0.004512548781031343,0.95,89.7404
7484,0.0625,0.05,0.0001,0.08835886417853972,0.1,4.8688199999999995
47494,0.25,0.01,2e-05,0.07854031899456937,0.8,12.6175
12873,0.025,0.05,0.01,0.02796017461694916,0.3,7.2214
11250,0.03333333333333333,0.3,0.15,0.07906341511534312,0.3,5.3401
12072,0.016666666666666666,0.4,0.004,0.02406459972649781,0.1,5.46304
58029,0.125,0.35,0.008749999999999999,0.011488411635096174,0.99,10.67667269
16250,0.005,0.025,0.00125,0.007466191290796994,0.05,5.80015
50707,0.07142857142857142,0.1,0.05,0.03500631814000055,0.8,18.0855
2928,0.16666666666666666,0.45,0.225,0.26461373121799026,0.05,3.15714
31223,0.07142857142857142,0.005,2.5e-05,0.0561000651636443,0.5,8.49869
36863,0.0125,0.2,0.1,0.036913713679680084,0.4,7.30275
60252,0.03333333333333333,0.4,0.06666666666666668,0.08346164483036883,0.99,6.354156821
27964,0.125,0.25,0.0125,0.12173671532660447,0.4,5.35126
44296,0.0005,0.1,0.014285714285714287,0.003006952968435945,0.6,13.4346
8982,0.05555555555555555,0.3,0.075,0.08229227423153262,0.3,5.41597
31159,0.08333333333333333,0.05,5e-05,0.0392754059570162,0.7,13.488
45926,0.00625,0.025,0.0016666666666666668,0.0006152285613280018,0.95,108.365
16921,0.0025,0.005,0.0005,0.003731033975219578,0.05,5.8718699999999995
5471,0.08333333333333333,0.01,0.0005,0.11781129530594404,0.1,4.53304
17111,0.0025,0.45,0.05,0.010602875205865551,0.1,5.5643400000000005
36254,0.03333333333333333,0.3,0.06,0.05487315168270172,0.6,7.34675
29185,0.1,0.5,0.01,0.05811946409141117,0.7,4.7641
21841,0.03333333333333333,0.025,0.0003125,0.00525807707932854,0.9,48.6368
46860,0.5,0.1,0.005,0.07995353303386023,0.9,13.4373
46865,0.5,0.1,0.0025,0.07924667468680252,0.9,13.4198
48919,0.25,0.4,0.05,0.0793252145031423,0.95,6.31557
55148,0.05,0.005,0.00125,0.007871653092650923,0.9,45.8746
15147,0.00625,0.01,0.0011111111111111113,0.009328348519596692,0.05,5.77072
11197,0.03333333333333333,0.1,0.025,0.04345869837465882,0.2,6.07102
37060,0.0125,0.4,0.13333333333333333,0.07880161572754399,0.4,5.0641
32367,0.05555555555555555,0.4,0.008,0.048659779545601904,0.5,5.86077
58374,0.025,0.005,0.000625,0.00040241838397076787,0.99,505.17845610000006
57237,0.0025,0.3,0.0003,0.0010115928344559132,0.8,11.6933
52714,0.0625,0.35,0.0007,0.01051019822258465,0.9,9.89879
41446,0.0125,0.01,0.01,0.006110397711232148,0.7,17.7804
7866,0.0625,0.4,0.0008,0.06902393219202134,0.3,5.14345
59063,0.0625,0.15,0.0003,0.0011217056569642367,0.99,57.164764
52340,0.05,0.05,0.0005,0.01577079512102076,0.8,22.6033
25445,0.25,0.45,0.03,0.2175552912610932,0.5,3.4985199999999996
48600,0.25,0.1,0.03333333333333333,0.029583330821303905,0.95,35.9355
30141,0.08333333333333333,0.005,0.0008333333333333334,0.06545639193448233,0.5,8.160730000000001
4796,0.1,0.25,0.00625,0.14947108797157688,0.05,4.02712
58040,0.125,0.01,0.0003333333333333333,0.001973862664250469,0.99,354.9162282
52244,0.05,0.01,0.00125,0.01573937919448486,0.8,22.9526
24204,0.016666666666666666,0.2,0.022222222222222227,0.014573499254152654,0.95,23.8208
7396,0.07142857142857142,0.4,0.0008,0.08996085203239526,0.2,4.72655
57360,0.0025,0.45,0.0642857142857143,0.07349082814647552,0.8,5.28765
12180,0.025,0.5,0.01,0.032201324699295375,0.3,5.156630000000002
55928,0.00625,0.5,0.08333333333333333,0.1066832505281534,0.8,4.27504
38104,0.025,0.4,0.005,0.016179202165987436,0.7,7.1109300000000015
26398,0.25,0.2,0.0004,0.15723042912686194,0.6,5.68692
29946,0.08333333333333333,0.025,0.0025,0.06554802172021203,0.5,8.15584
8378,0.0625,0.01,0.01,0.06881658707688441,0.3,6.26735
36851,0.03333333333333333,0.4,0.02,0.03330088212805181,0.7,6.70058
31731,0.07142857142857142,0.15,0.075,0.06608564546301386,0.6,9.01092
57068,0.001,0.15,0.0003,0.0004272566008882118,0.8,22.0483
48673,0.16666666666666666,0.025,0.0125,0.02706351171373706,0.9,31.3572
52226,0.25,0.005,0.005,0.004004745235163592,0.99,251.69400000000002
24531,0.5,0.4,0.01,0.3989822670059037,0.5,2.40422
4722,0.1,0.15,0.00375,0.14931400833889738,0.05,4.05358
36191,0.016666666666666666,0.45,0.0642857142857143,0.052060678259488,0.4,5.21985
38956,0.00625,0.5,0.0125,0.013744467859455343,0.4,5.42248
58811,0.125,0.05,5e-05,0.0019712708503112574,0.99,272.8103391
10797,0.03333333333333333,0.01,0.0001,0.04712420396311225,0.1,5.4465900000000005
17300,0.0025,0.25,0.0125,0.004516039439535328,0.1,6.028169999999999
60616,0.0625,0.01,0.0005,0.0009972985878820807,0.99,435.5520575000001
58995,0.016666666666666666,0.1,0.001,0.0005728170605045392,0.99,119.83757659999998
43962,0.001,0.2,0.025,0.010053096491487338,0.6,11.0846
28065,0.125,0.4,0.04444444444444445,0.14014993893514466,0.4,4.44428
55874,0.00625,0.35,0.0007,0.00257924756859722,0.8,9.48283
36324,0.016666666666666666,0.4,0.06666666666666668,0.05497787143782138,0.5,5.73474
10836,0.03333333333333333,0.4,0.01,0.050370202212556336,0.05,4.99844
52066,0.05555555555555555,0.3,0.0006,0.017905681862060218,0.8,10.585
50662,0.07142857142857142,0.025,0.0003125,0.02245958247972632,0.8,21.1857
11867,0.03333333333333333,0.025,5e-05,0.03665309238912602,0.3,6.99741
60720,0.001,0.3,0.006,0.00561402607196496,0.99,14.78537882
19406,0.0005,0.2,0.0002,0.0007194247176720628,0.1,6.15667
50028,0.08333333333333333,0.05,0.00025,0.02621135470645083,0.8,20.1122
34999,0.025,0.15,0.0375,0.030630528372500482,0.4,7.9353
6806,0.07142857142857142,0.35,0.035,0.1085139762471203,0.05,4.37343
33339,0.05,0.25,0.016666666666666666,0.05235987755982988,0.4,6.711239999999999
810,0.5,0.2,0.006666666666666667,0.6291562887589159,0.2,1.7752400000000002
50734,0.07142857142857142,0.1,0.0005,0.02256561123178497,0.8,19.657
24297,0.025,0.45,0.1125,0.15305446709207773,0.95,4.43216
15766,0.01,0.25,0.00625,0.013548118318605985,0.2,6.38636
16351,0.01,0.01,0.000125,0.010996752384809372,0.3,7.70673
6240,0.08333333333333333,0.3,0.003,0.10528524179730593,0.2,4.78721
25626,0.25,0.2,0.025,0.20420352248333656,0.5,4.66606
1600,0.25,0.01,0.00025,0.3730645203128696,0.05,2.65637
42098,0.0005,0.1,0.0005,0.0005340707511102648,0.4,9.23525
57235,0.05,0.2,0.028571428571428574,0.020981350936474692,0.95,22.2055
24171,0.03333333333333333,0.5,0.05555555555555555,0.08552113334772214,0.95,4.51826
55021,0.05,0.025,0.0003125,0.007876070957320035,0.9,45.623999999999995
14187,0.01,0.3,0.02,0.016022122533307946,0.1,5.75521
10407,0.03333333333333333,0.15,0.0003,0.04713802697078805,0.1,5.40486
43374,0.00625,0.1,0.05,0.013940817400304707,0.7,16.0283
7877,0.0625,0.5,0.0125,0.0942477796076938,0.05,4.4173
47042,0.5,0.15,0.05,0.17592918860102838,0.8,6.47495
57157,0.001,0.25,0.041666666666666664,0.026494098045273917,0.8,12.0315
